Название,Ссылка,Id,Автор,Дата подачи,Дата публикации
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU159261U1_20160210,RU159261U1,Мокрушин Петр Михайлович (RU),2015.03.05,2016.02.10
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU183226U1_20180913,RU183226U1,Мокрушин Петр Михайлович (RU),2017.09.28,2018.09.13
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU187689U1_20190314,RU187689U1,Мокрушин Петр Михайлович (RU),2018.08.23,2019.03.14
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2067739C1_19961010,RU2067739C1,Адов А.Б.,1992.06.05,1996.10.10
Складывающееся стрелковое оружие,https://yandex.ru/patents/doc/RU2067741C1_19961010,RU2067741C1,Адов А.Б.,1992.06.15,1996.10.10
Ручное огнестрельное оружие с...,https://yandex.ru/patents/doc/SU18146A1_19300930,SU18146A1,,1926.12.06,1930.09.30
Стрелковое оружие и затвор стрелкового...,https://yandex.ru/patents/doc/RU2751832C1_20210719,RU2751832C1,Паршин Борис Викторович (UZ),2020.12.23,2021.07.19
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2074351C1_19970227,RU2074351C1,Мурадов Э.П.,1994.02.15,1997.02.27
Оптико-механическое приспособление для...,https://yandex.ru/patents/doc/RU2368858C1_20090927,RU2368858C1,Финк Юрий Михайлович (RU),2007.12.26,2009.09.27
ОРУЖИЕ САМООБОРОНЫ,https://yandex.ru/patents/doc/RU2243476C1_20041227,RU2243476C1,Гуляев С.В. (RU),2004.01.08,2004.12.27
Стрелковое многозарядное оружие,https://yandex.ru/patents/doc/RU2766490C1_20220315,RU2766490C1,Грязев Василий Петрович (RU),2006.05.29,2022.03.15
Пневматическое оружие,https://yandex.ru/patents/doc/SU646192A1_19790205,SU646192A1,,1975.12.29,1979.02.05
"Ручное оружие с электроуправлением, корпус...",https://yandex.ru/patents/doc/RU2141092C1_19991110,RU2141092C1,Шарыпкин А.П.,1998.03.24,1999.11.10
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2452914C2_20120610,RU2452914C2,Сенновский Валерий Андреевич (RU),2009.10.13,2012.06.10
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2149335C1_20000520,RU2149335C1,Миронов Н.С.,1997.06.30,2000.05.20
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2410626C1_20110127,RU2410626C1,Злобин Владимир Викторович (RU),2009.07.13,2011.01.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2399009C1_20100910,RU2399009C1,Злобин Владимир Викторович (RU),2009.04.13,2010.09.10
Стрелковое многозарядное оружие,https://yandex.ru/patents/doc/RU2208212C2_20030710,RU2208212C2,Грязев В.П.,2001.06.28,2003.07.10
Оружие нелетального действия,https://yandex.ru/patents/doc/RU2585124C2_20160527,RU2585124C2,Сидоркин Сергей Федорович (RU),2014.08.15,2016.05.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2580402C1_20160410,RU2580402C1,Староверов Николай Евгеньевич (RU),2015.01.12,2016.04.10
Стрелковое многозарядное оружие,https://yandex.ru/patents/doc/RU2303761C1_20070727,RU2303761C1,Грязев Василий Петрович (RU),2006.05.29,2007.07.27
Многозарядное стрелковое оружие,https://yandex.ru/patents/doc/RU55458U1_20060810,RU55458U1,Пушкин Николай Михайлович (RU),2006.03.30,2006.08.10
ГАЗОБАЛЛОННОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2282126C2_20060820,RU2282126C2,Романов Георгий Александрович (RU),2003.05.27,2006.08.20
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU137359U1_20140210,RU137359U1,Романов Георгий Александрович (RU),2013.08.20,2014.02.10
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2399010C1_20100910,RU2399010C1,Злобин Владимир Викторович (RU),2009.06.08,2010.09.10
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2151993C1_20000627,RU2151993C1,Котюхов Ф.А.,1999.06.21,2000.06.27
